beacontest1,beacontest2,beacontest3,beacontest4,beacontest5,beacontest6,beacontest7,beacontest8,beacontest9,beacontest10,beacontest11,beacontest12,beacontest13,beacontest14,beacontest15,beaocontest16,beaocontest17,beaocontest18,target
-60,-62,-64,-71,-66,-63,-74,-83,-74,-53,-57,-64,-65,-82,-67,-69,-71,-77,11
-60,-62,-64,-71,-66,-63,-74,-83,-74,-53,-57,-64,-66,-82,-67,-69,-71,-77,11
-60,-62,-64,-71,-66,-63,-74,-83,-74,-53,-57,-64,-66,-82,-67,-69,-71,-77,11
-60,-62,-64,-71,-66,-63,-74,-83,-74,-53,-57,-64,-66,-82,-67,-69,-71,-77,11
-60,-62,-64,-71,-66,-63,-74,-83,-74,-53,-57,-64,-66,-82,-67,-69,-71,-77,11
-60,-62,-64,-71,-66,-63,-75,-83,-74,-53,-57,-64,-66,-82,-67,-69,-71,-77,11
-60,-62,-64,-71,-66,-63,-75,-83,-74,-53,-57,-64,-66,-82,-67,-69,-71,-77,11
-60,-62,-64,-71,-66,-63,-75,-83,-75,-53,-57,-64,-66,-82,-67,-69,-71,-77,11
-60,-62,-64,-71,-66,-63,-75,-83,-75,-53,-57,-64,-66,-82,-67,-69,-71,-77,11
-60,-62,-64,-71,-66,-63,-75,-83,-75,-53,-57,-64,-66,-82,-67,-69,-71,-77,11
-60,-62,-64,-71,-66,-63,-75,-83,-75,-53,-57,-64,-66,-82,-67,-69,-71,-77,11
-60,-62,-64,-71,-66,-63,-75,-83,-75,-53,-57,-64,-66,-82,-67,-69,-71,-78,11
-60,-62,-64,-71,-66,-63,-75,-82,-75,-53,-57,-64,-66,-82,-67,-69,-71,-78,11
-60,-62,-64,-71,-66,-63,-75,-82,-75,-53,-57,-64,-66,-82,-67,-69,-71,-78,11
-60,-62,-64,-71,-66,-63,-75,-82,-75,-53,-57,-64,-66,-82,-67,-69,-71,-78,11
-60,-63,-64,-71,-66,-63,-75,-82,-75,-53,-57,-64,-66,-82,-67,-69,-71,-78,11
-61,-63,-64,-71,-66,-63,-75,-82,-75,-53,-57,-64,-66,-82,-67,-69,-71,-78,11
-61,-63,-64,-71,-66,-63,-75,-82,-75,-53,-57,-64,-66,-82,-67,-69,-71,-78,11
-61,-63,-64,-71,-66,-63,-75,-82,-75,-53,-57,-64,-66,-82,-67,-69,-70,-78,11
-61,-63,-64,-71,-66,-64,-75,-82,-75,-53,-57,-64,-66,-82,-67,-69,-70,-78,11
-61,-63,-64,-71,-66,-64,-75,-82,-75,-52,-57,-64,-66,-82,-67,-69,-70,-78,11
-61,-63,-64,-71,-66,-64,-76,-82,-75,-52,-57,-64,-66,-82,-67,-69,-70,-78,11
-61,-63,-64,-71,-66,-64,-76,-82,-75,-52,-57,-64,-65,-82,-67,-69,-70,-78,11
-61,-63,-64,-71,-66,-64,-76,-82,-75,-52,-57,-64,-65,-82,-67,-69,-70,-78,11
-61,-63,-64,-71,-66,-64,-76,-82,-75,-52,-57,-64,-65,-82,-67,-69,-70,-78,11
-61,-63,-64,-71,-66,-64,-76,-82,-75,-52,-57,-64,-65,-82,-67,-68,-70,-78,11
